Sources,Authentication Services operational,Authentication Services degraded,Authentication Services unresponsive,Availability Item Filter operational,Availability Item Filter degraded,Availability Item Filter unresponsive,Bid and Buy Service operational,Bid and Buy Service degraded,Bid and Buy Service unresponsive,Buy Now Item Filter operational,Buy Now Item Filter degraded,Buy Now Item Filter unresponsive,Category Item Filter operational,Category Item Filter degraded,Category Item Filter unresponsive,Comment Item Filter operational,Comment Item Filter degraded,Comment Item Filter unresponsive,Future Sales Item Filter operational,Future Sales Item Filter degraded,Future Sales Item Filter unresponsive,Inventory Service operational,Inventory Service degraded,Inventory Service unresponsive,Item Management Service operational,Item Management Service degraded,Item Management Service unresponsive,Last Second Sales Item Filter operational,Last Second Sales Item Filter degraded,Last Second Sales Item Filter unresponsive,Past Sales Item Filter operational,Past Sales Item Filter degraded,Past Sales Item Filter unresponsive,Persistence Service operational,Persistence Service degraded,Persistence Service unresponsive,Query Service operational,Query Service degraded,Query Service unresponsive,Recommendation Item Filter operational,Recommendation Item Filter degraded,Recommendation Item Filter unresponsive,Region Item Filter operational,Region Item Filter degraded,Region Item Filter unresponsive,Reputation Service operational,Reputation Service degraded,Reputation Service unresponsive,Seller Reputation Item Filter operational,Seller Reputation Item Filter degraded,Seller Reputation Item Filter unresponsive,User Management Service operational,User Management Service degraded,User Management Service unresponsive,Supervisory Component operational,Supervisory Component degraded,Supervisory Component unresponsive
Authentication Services operational,0.12982456159426203,0.04210526381542735,0.010526315783522831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6842105258995754,0.13333333290721228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Authentication Services degraded,0.20270270259997825,0.1621621641729413,0.027027026157101054,0.0,0.0,0.0,0.0,0.013513512748182693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45945946007529576,0.04054054056026901,0.027027026830422025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027027026320711744,0.0,0.0,0.0405405405350982,0.0,0.0
Authentication Services unresponsive,0.45454546290426684,0.27272725948863824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909252158737,0.09090909116693634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909391857126,0.0,0.0
Availability Item Filter operational,0.0,0.0,0.0,0.15019011389156203,0.049429657972084394,0.017110266444879608,0.0,0.0,0.0,0.0,0.0,0.001901140644586166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6806083638871223,0.1007604571597654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Availability Item Filter degraded,0.0,0.0,0.0,0.20979021192996544,0.11188811283284715,0.04895104856839099,0.0,0.0,0.0,0.006993006436395007,0.006993006166116105,0.006993007253744523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4965034942825362,0.09790209802902816,0.006993007266770013,0.0,0.0,0.0,0.0,0.006993007234206285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Availability Item Filter unresponsive,0.0,0.0,0.0,0.2962962958568245,0.07407407327433753,0.2962963013930197,0.0,0.0,0.0,0.037037034929744084,0.0,0.037037037206310325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407586134467,0.0370370377754519,0.1481481437029674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bid and Buy Service operational,0.14406779500172515,0.03389830390728221,0.0,0.0,0.0,0.0,0.11864406579069496,0.0762711882447643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09322033972485148,0.04237288307861808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22881356049598595,0.0762711862992472,0.0,0.18644067745683066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bid and Buy Service degraded,0.07500000040978184,0.04999999943887812,0.0,0.0,0.0,0.0,0.14999999878229575,0.17499999562045568,0.04999999900814149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12499999839346862,0.0250000011222437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12500000101281333,0.0,0.0,0.12500000287545834,0.07500000234227622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02500000099418684,0.0,0.0
Bid and Buy Service unresponsive,0.0,0.0,0.0,0.0,0.0,0.0,0.7500000112049748,0.0,0.24999998879502527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buy Now Item Filter operational,0.0,0.0,0.0,0.6461824939304877,0.1527001863088592,0.0,0.0,0.0,0.0,0.15083798943785842,0.042830540439378645,0.005586592408009451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018621974754065571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
